target,motif,PuzzleId,FEN,Moves,Rating,Popularity,NbPlays,Themes
fork,fork,TOFbg,r1bq1rk1/1pp1npbp/p4np1/4p1B1/4P3/2NP1NP1/PPP3BP/R2Q1RK1 w - - 2 11,f3e5 d8d4 g1h1 d4e5,1227,79,93,11900,advantage fork opening short,https://lichess.org/oF9nVolG#21,Bird_Opening Bird_Opening_Other_variations,
fork,fork,UuNVr,3r2k1/pp1r1ppp/1qp1pn2/4R3/1bPP4/1P3NP1/PBQ2PKP/R7 b - - 2 27,b4d6 c4c5 b6c7 c5d6,1377,76,93,1813,crushing fork master middlegame short,https://lichess.org/BP4t5Crf/black#54,,
fork,fork,WUxlB,r2q1rk1/1b1nbppp/p3p3/1p1pP3/4n3/1P1B1NNP/P1P2PP1/R1BQ1RK1 w - - 1 14,g3e4 d5e4 d3e4 b7e4,1208,83,93,1150,crushing fork opening short,https://lichess.org/hxT7OhEX#27,Sicilian_Defense Sicilian_Defense_Najdorf_Variation,
fork,fork,Y2l04,r2k1r2/1ppq4/p4P2/3p3Q/3p4/3Pb2P/PPP5/1K1RR3 b - - 0 25,f8f6 h5h8 d8e7 h8a8,1227,83,93,8892,crushing fork middlegame short skewer,https://lichess.org/SHhRPFP6/black#50,,
fork,fork,ZaJCu,2k1r2r/1pp1R3/p1q5/3NQ2p/8/8/PPP3PP/6K1 b - - 2 22,e8e7 d5e7 c8d7 e7c6,1229,79,93,1129,crushing endgame fork short,https://lichess.org/wyw5BvSS/black#44,,
fork,fork,b6MHi,r2qk2r/ppp2pp1/4B1b1/4Q2p/3P3b/4P2P/PP3PP1/R1B1R1K1 b kq - 3 16,f7e6 e5e6 d8e7 e6g6,1128,77,98,703,advantage fork middlegame short,https://lichess.org/OyRqXDT0/black#32,Queens_Gambit_Accepted Queens_Gambit_Accepted_Showalter_Variation,
fork,fork,cei17,8/r1q4k/2pNp1pp/2P2p2/3Pp2P/4P1Q1/5PPK/8 b - - 0 31,c7e7 d6c8 e7d7 c8a7,1485,76,98,1441,advantage endgame fork short,https://lichess.org/6CGWw8f5/black#62,,
fork,fork,eDrBI,Q7/p1p2pkp/6pq/3pb3/4n3/7P/PPP3P1/RN3R1K w - - 0 19,a8d5 e4g3 h1h2 g3f1,1101,81,94,2592,crushing discoveredCheck doubleCheck fork middlegame short,https://lichess.org/fhOFdNO1#37,,
fork,fork,fmNSW,r3r1k1/ppp3bp/2n1p1p1/2N5/2n1P3/2N1BP1P/PPP3P1/R4RK1 w - - 1 16,e3c1 g7d4 g1h1 d4c5,1418,76,93,5423,crushing fork middlegame short,https://lichess.org/wFbpVS3O#31,Modern_Defense Modern_Defense_Other_variations,
fork,fork,hMfD0,4N3/7p/4k3/1r6/3p4/7P/2R2nPK/8 b - - 5 50,f2e4 e8c7 e6e5 c7b5,1185,78,88,728,advantage endgame fork short,https://lichess.org/BW614PzM/black#100,,
fork,fork,iuZCx,rnb1k1nr/pp1p1ppp/8/4pN2/1q2P3/2P5/PP1KNbPP/R1BQ1B1R b kq - 0 9,b4e4 f5d6 e8f8 d6e4,1269,78,96,28313,crushing fork opening short,https://lichess.org/PhQG9Sx6/black#18,Sicilian_Defense Sicilian_Defense_Paulsen-Basman_Defense,
fork,fork,kWKm2,3Q2n1/6rk/8/1p1p1q2/3P4/P1P3P1/1P4P1/R5K1 b - - 0 36,g7g3 d8h4 g8h6 h4g3,1172,81,86,772,crushing endgame fork short,https://lichess.org/Tc2BwAvE/black#72,,
fork,fork,m5zPu,8/p3kr1p/1pb4R/2p1B3/3n4/6P1/PP1R2KP/8 w - - 8 31,g2g1 d4f3 g1g2 f3e5,2159,83,92,1055,advantage discoveredAttack discoveredCheck endgame fork short,https://lichess.org/4AKULbHl#61,,
fork,fork,natVG,r2qkb1r/ppp2ppp/8/3p2P1/5Pb1/3QP3/PPP1N1P1/RN2K2R b KQkq - 0 10,f8c5 d3b5 d8d7 b5c5,1164,75,96,2745,advantage fork middlegame short,https://lichess.org/uxw6ZJ3d/black#20,Trompowsky_Attack Trompowsky_Attack_Raptor_Variation,
